disease_name,disease_counts
Fasciculation,3
Fasciitis,2
Fascioliasis,2
Fascioloidiasis,0
Fat Necrosis,0
Fatigue,0
Mental Fatigue,0
Fatty Liver,66
"Fatty Liver, Alcoholic",14
Favism,0
Fecal Incontinence,0
Fecal Impaction,0
Feline Panleukopenia,3
Felty Syndrome,0
Female Urogenital Diseases and Pregnancy Complications,2867
Feminization,0
Femoral Fractures,6
Femoral Neck Fractures,6
Femoral Neoplasms,0
Femur Head Necrosis,2
Fetal Hypoxia,0
Fetal Death,6
Fetal Diseases,66
Fetal Distress,0
Fetal Growth Retardation,43
Fetal Macrosomia,3
"Fetal Membranes, Premature Rupture",12
Fetal Resorption,0
Fetofetal Transfusion,3
Fetomaternal Transfusion,0
Fever,0
Fever of Unknown Origin,0
Fibrocystic Breast Disease,26
Fibroma,20
"Fibromatosis, Gingival",3
Fibromuscular Dysplasia,0
Fibrosarcoma,42
Fibrosis,0
Fibromyalgia,8
Fibrous Dysplasia of Bone,7
"Fibrous Dysplasia, Monostotic",0
"Fibrous Dysplasia, Polyostotic",6
Filariasis,9
Finger Injuries,1
Fish Diseases,0
Fissure in Ano,0
Fistula,0
Flail Chest,0
Flatfoot,0
Flatulence,0
Fluoride Poisoning,0
Flushing,0
Focal Dermal Hypoplasia,1
Focal Infection,1
"Focal Infection, Dental",0
Folic Acid Deficiency,2
Follicular Cyst,0
Folliculitis,0
Food Hypersensitivity,6
Foodborne Diseases,4
Foot Deformities,4
"Foot Deformities, Acquired",1
"Foot Deformities, Congenital",4
Foot Dermatoses,7
Foot Diseases,7
Foot Rot,0
Foot-and-Mouth Disease,0
Forearm Injuries,0
Foreign Bodies,0
Foreign-Body Migration,0
Foreign-Body Reaction,0
Influenza in Birds,20
Fowlpox,0
Fox-Fordyce Disease,0
"Fractures, Closed",0
"Fractures, Open",10
"Fractures, Spontaneous",5
"Fractures, Ununited",2
Fragile X Syndrome,41
Freemartinism,0
Friedreich Ataxia,42
Frostbite,0
Fructose Intolerance,1
Fuchs' Endothelial Dystrophy,32
Fucosidosis,0
Funnel Chest,0
Furunculosis,0
Fused Teeth,2
Fusobacterium Infections,1
Gagging,0
Galactorrhea,0
Galactosemias,2
Gallbladder Diseases,14
Gallbladder Neoplasms,5
Ganglioneuroma,3
Gangliosidoses,10
Gangrene,0
Gardner Syndrome,0
Gas Gangrene,0
Gas Poisoning,0
Gastric Fistula,0
Gastritis,24
"Gastritis, Atrophic",4
"Gastritis, Hypertrophic",0
Gastroenteritis,423
"Gastroenteritis, Transmissible, of Swine",0
Gastroesophageal Reflux,15
Gastrointestinal Diseases,2733
Gastrointestinal Neoplasms,2201
Gaucher Disease,11
"Genital Diseases, Female",1278
"Genital Diseases, Male",1583
"Genital Neoplasms, Female",998
"Genital Neoplasms, Male",1457
Geotrichosis,0
Gerstmann Syndrome,0
Giant Cell Tumors,6
Castleman Disease,8
Giardiasis,0
Gigantism,4
Gilbert Disease,0
Tourette Syndrome,4
Gingival Diseases,16
Gingival Hemorrhage,1
Gingival Hyperplasia,0
Gingival Hypertrophy,0
Gingival Neoplasms,1
Gingival Pocket,0
Gingival Recession,2
Gingivitis,11
"Gingivitis, Necrotizing Ulcerative",0
Glanders,0
Glaucoma,35
"Glaucoma, Open-Angle",15
Glioblastoma,657
Glioma,1125
Gliosis,0
Glomus Tumor,0
Glomerulonephritis,63
"Glomerulonephritis, IGA",23
"Glomerulosclerosis, Focal Segmental",12
Glomus Jugulare Tumor,0
Glossalgia,0
Glossitis,0
"Glossitis, Benign Migratory",0
Glucagonoma,4
Glycogen Storage Disease Type I,1
Glucosephosphate Dehydrogenase Deficiency,0
Glycogen Storage Disease,33
Glycogen Storage Disease Type II,26
Glycogen Storage Disease Type III,0
Glycogen Storage Disease Type IV,6
Glycogen Storage Disease Type V,0
Glycogen Storage Disease Type VI,0
Glycogen Storage Disease Type VII,0
Glycogen Storage Disease Type VIII,0
Glycosuria,1
"Glycosuria, Renal",0
Goiter,18
"Goiter, Endemic",4
"Goiter, Nodular",2
"Goiter, Substernal",0
Goldenhar Syndrome,1
Gonadal Disorders,1083
Gonadal Dysgenesis,11
"Gonadal Dysgenesis, Mixed",0
"Gonadal Dysgenesis, 46,XY",0
Gonorrhea,1
Gout,2
"Graft Occlusion, Vascular",0
Graft vs Host Disease,58
Granuloma,26
Granuloma Inguinale,0
"Granuloma, Giant Cell",0
"Granuloma, Laryngeal",0
"Granuloma, Lethal Midline",0
"Granuloma, Plasma Cell",0
"Granulomatous Disease, Chronic",8
Granulosa Cell Tumor,2
Graves Disease,10
Growth Disorders,0
Gynatresia,0
Gynecomastia,1
Haemonchiasis,0
Haemophilus Infections,6
Hair Diseases,46
Halitosis,0
Hallermann's Syndrome,0
Pantothenate Kinase-Associated Neurodegeneration,3
Hallucinations,0
Hallux Valgus,0
Hamartoma,158
"Hamartoma Syndrome, Multiple",140
Hand Deformities,4
"Hand Deformities, Acquired",0
"Hand Deformities, Congenital",4
Hand Dermatoses,7
Hand Injuries,1
"Hand, Foot and Mouth Disease",3
Hartnup Disease,0
"Rhinitis, Allergic, Seasonal",17
Head and Neck Neoplasms,796
Craniocerebral Trauma,29
Headache,0
Hearing Disorders,41
"Hearing Loss, Bilateral",0
"Hearing Loss, Central",0
"Hearing Loss, Conductive",0
"Hearing Loss, Functional",1
"Hearing Loss, High-Frequency",1
"Hearing Loss, Noise-Induced",0
"Hearing Loss, Sensorineural",3
Heart Aneurysm,0
Heart Arrest,7
Heart Block,17
"Heart Defects, Congenital",117
Heart Diseases,756
Cardiomegaly,66
Heart Failure,104
Heart Injuries,2
Heart Murmurs,0
Heart Neoplasms,24
Heart Rupture,0
"Heart Rupture, Post-Infarction",0
Heart Septal Defects,8
"Heart Septal Defects, Atrial",2
"Heart Septal Defects, Ventricular",6
Heart Valve Diseases,87
Heartburn,0
Heartwater Disease,0
Heat Exhaustion,0
Heavy Chain Disease,2
Helminthiasis,23
"Helminthiasis, Animal",0
Hemangioendothelioma,1
Hemangioma,30
"Hemangioma, Cavernous",20
Hemangiopericytoma,0
Hemangiosarcoma,6
Hemarthrosis,0
Hematemesis,0
Hematocele,0
Hematocolpos,0
Hematologic Diseases,1507
Hematoma,0
"Hematoma, Epidural, Cranial",0
"Hematoma, Subdural",0
Hematometra,0
Hematuria,1
Hemianopsia,0
Hemic and Lymphatic Diseases,4447
Hemiplegia,1
Hemobilia,0
Hemochromatosis,8
Hemoglobin C Disease,2
Hemoglobin SC Disease,0
Hemoglobinopathies,66
Hemoglobinuria,0
"Hemoglobinuria, Paroxysmal",5
Hemolysis,0
Hemolytic-Uremic Syndrome,11
Hemoperitoneum,0
Hemophilia A,5
Hemopneumothorax,0
Hemoptysis,0
Hemorrhage,0
Gastrointestinal Hemorrhage,1
Oral Hemorrhage,1
Postpartum Hemorrhage,0
Hemorrhagic Disorders,538
Vitamin K Deficiency Bleeding,2
"Hemorrhagic Fever, American",4
"Hemorrhagic Fever, Crimean",0
Hemorrhagic Fever with Renal Syndrome,11
"Hemorrhagic Fever, Omsk",0
"Hemorrhagic Fevers, Viral",97
Hemorrhagic Septicemia,2
Hemorrhoids,0
Hemosiderosis,3
Hemothorax,0
Hepatic Encephalopathy,3
Budd-Chiari Syndrome,0
Hepatic Veno-Occlusive Disease,1
Hepatitis,427
Hepatitis A,37
Hepatitis B,121
"Hepatitis, Alcoholic",8
"Hepatitis, Animal",2
"Hepatitis, Chronic",108
"Hepatitis, Infectious Canine",0
"Hepatitis, Viral, Animal",2
"Hepatitis, Viral, Human",363
Hepatitis C,190
Hepatolenticular Degeneration,12
"Carcinoma, Hepatocellular",780
Hepatomegaly,0
Hepatorenal Syndrome,0
Hernia,0
"Hernia, Diaphragmatic",0
"Hernia, Diaphragmatic, Traumatic",0
"Hernia, Femoral",0
"Hernia, Hiatal",0
"Hernia, Inguinal",0
"Hernia, Obturator",0
"Hernia, Umbilical",0
"Hernia, Ventral",0
Heroin Dependence,2
Herpangina,0
Herpes Genitalis,4
Pemphigoid Gestationis,0
Herpes Labialis,0
Herpes Simplex,24
Herpes Zoster,5
Herpes Zoster Ophthalmicus,0
Herpesviridae Infections,513
Hiccup,0
"Adenoma, Sweat Gland",1
High Pressure Neurological Syndrome,0
Hip Contracture,0
Hip Dislocation,0
"Hip Dislocation, Congenital",0
"Hip Dysplasia, Canine",0
Hip Fractures,6
von Hippel-Lindau Disease,55
Hirschsprung Disease,17
Hirsutism,1
"Histiocytosis, Langerhans-Cell",4
Histoplasmosis,0
HIV Seropositivity,7
Hoarseness,0
Hodgkin Disease,115
Classical Swine Fever,0
Homocystinuria,5
Hookworm Infections,0
Hordeolum,0
Horner Syndrome,0
Horse Diseases,0
Deltaretrovirus Infections,26
Humeral Fractures,0
Huntington Disease,118
Hyaline Membrane Disease,0
Hydatidiform Mole,8
Polyhydramnios,0
Hydranencephaly,0
Hydrarthrosis,0
Hydroa Vacciniforme,0
Testicular Hydrocele,0
Hydrocephalus,7
"Hydrocephalus, Normal Pressure",1
Hydronephrosis,0
Hydrophthalmos,0
Hydropneumothorax,0
Hydrothorax,0
Hymenolepiasis,0
Hyperaldosteronism,212
Hyperalgesia,5
Hyperbilirubinemia,0
"Hyperbilirubinemia, Hereditary",5
Hypercalcemia,2
Hypercapnia,0
Hypercementosis,0
Hypercholesterolemia,9
Hyperlipoproteinemia Type II,6
Hyperemesis Gravidarum,0
Hyperemia,1
Hyperesthesia,0
Hypergammaglobulinemia,24
Hyperglycemia,52
Hyperglycemic Hyperosmolar Nonketotic Coma,3
Hyperhidrosis,1
Hyperinsulinism,201
Hyperkalemia,0
Hyperkinesis,4
Hyperlipidemias,36
"Hyperlipidemia, Familial Combined",6
Hyperlipoproteinemias,8
Hyperlipoproteinemia Type III,1
Hyperlipoproteinemia Type IV,0
Hyperlipoproteinemia Type V,0
Hypernatremia,0
Hyperopia,0
Hyperostosis Frontalis Interna,0
"Hyperostosis, Cortical, Congenital",0
Hyperoxaluria,1
"Hyperoxaluria, Primary",0
Hyperparathyroidism,10
"Hyperparathyroidism, Secondary",3
Hyperphagia,0
Hyperpituitarism,10
Hyperplasia,0
Hyperprolactinemia,2
Hypersensitivity,406
"Hypersensitivity, Delayed",14
"Hypersensitivity, Immediate",320
Disorders of Excessive Somnolence,1
Hypersplenism,0
Hypertelorism,1
Hypertension,61
"Hypertension, Malignant",0
"Hypertension, Portal",6
"Hypertension, Pulmonary",48
"Hypertension, Renal",2
"Hypertension, Renovascular",1
Hyperthyroidism,12
Hyperthyroxinemia,0
Hypertrichosis,0
Hypertrophy,0
Hyperventilation,1
Hypervitaminosis A,0
Hypesthesia,0
Hyphema,0
Hypoaldosteronism,0
Hypobetalipoproteinemias,5
Hypocalcemia,0
Hypodermyiasis,0
Hypoglycemia,4
Hypogonadism,18
Hypohidrosis,1
Hypokalemia,1
Hypolipoproteinemias,10
Hyponatremia,0
Hypoparathyroidism,9
Hypopharyngeal Neoplasms,9
Hypophosphatasia,0
"Hypophosphatemia, Familial",8
Hypopituitarism,4
Hypoproteinemia,1
Hypoprothrombinemias,10
Hypospadias,2
Hypotension,0
"Hypotension, Orthostatic",0
Hypothalamic Diseases,65
Hypothalamic Neoplasms,33
Hypothermia,0
Hypothyroidism,6
Hypotrichosis,37
Hypoventilation,1
Iatrogenic Disease,0
Ichthyosis,61
Ileal Diseases,7
Ileal Neoplasms,1
Ileitis,4
Illusions,9
Immersion Foot,0
Immune Complex Diseases,39
Immunoblastic Lymphadenopathy,1
Immunologic Deficiency Syndromes,572
Immune System Diseases,5511
Immunoproliferative Disorders,3344
Immunoproliferative Small Intestinal Disease,0
Impetigo,0
Erectile Dysfunction,0
Inappropriate ADH Syndrome,6
Incontinentia Pigmenti,17
Inert Gas Narcosis,0
Infant Nutrition Disorders,2
"Infant, Newborn, Diseases",204
"Infant, Premature, Diseases",17
Infarction,0
Infection,637
Infectious Bovine Rhinotracheitis,0
Infectious Mononucleosis,13
Infertility,102
"Infertility, Female",16
"Infertility, Male",50
Inflammation,0
"Influenza, Human",215
Disorders of Environmental Origin,2
Insect Bites and Stings,0
Sleep Initiation and Maintenance Disorders,47
Insulin Coma,0
Insulin Resistance,196
Insulinoma,7
Intermittent Claudication,1
Intertrigo,0
Intervertebral Disc Displacement,4
Intestinal Atresia,0
Intestinal Diseases,1953
"Intestinal Diseases, Parasitic",5
Intestinal Fistula,0
Intestinal Neoplasms,1556
Intestinal Obstruction,5
Intestinal Perforation,2
Intestinal Polyps,0
Intestinal Pseudo-Obstruction,1
Intraoperative Complications,0
Intussusception,0
Chromosome Inversion,0
Iris Diseases,8
Iritis,0
Ischemia,0
"Adenoma, Islet Cell",15
Creutzfeldt-Jakob Syndrome,4
Jaundice,0
"Jaundice, Chronic Idiopathic",3
"Jaundice, Neonatal",3
Jaw Abnormalities,15
Jaw Cysts,4
Jaw Diseases,25
Jaw Fractures,0
Jaw Neoplasms,0
"Jaw, Edentulous",0
"Jaw, Edentulous, Partially",0
Jejunal Diseases,0
Jejunal Neoplasms,0
Job Syndrome,6
Joint Diseases,485
Joint Instability,6
Joint Loose Bodies,0
Kaposi Varicelliform Eruption,1
Kartagener Syndrome,1
Kearns-Sayre Syndrome,6
Keratitis,5
"Keratitis, Dendritic",1
Keratoacanthoma,0
Keratoconjunctivitis,0
Keratoconjunctivitis Sicca,0
"Keratoconjunctivitis, Infectious",0
Keratoconus,4
Keratosis,108
Darier Disease,0
"Keratoderma, Palmoplantar",24
Kernicterus,4
Ketosis,1
Kidney Calculi,3
Kidney Cortex Necrosis,26
Kidney Diseases,888
"Kidney Failure, Chronic",51
Kidney Neoplasms,439
Kidney Papillary Necrosis,0
"Kidney Tubular Necrosis, Acute",4
Polycystic Kidney Diseases,8
Medullary Sponge Kidney,0
Menkes Kinky Hair Syndrome,8
Klebsiella Infections,1
Klinefelter Syndrome,7
Klippel-Feil Syndrome,0
Klippel-Trenaunay-Weber Syndrome,1
Knee Injuries,7
Vulvar Lichen Sclerosus,0
Krukenberg Tumor,1
Kuru,0
Kwashiorkor,0
Kyasanur Forest Disease,0
Kyphosis,0
Obstetric Labor Complications,44
"Obstetric Labor, Premature",28
Laboratory Infection,0
Labyrinth Diseases,45
Labyrinthitis,1
Lacrimal Apparatus Diseases,35
Lacrimal Duct Obstruction,0
Lactation Disorders,2
Lactose Intolerance,5
"Lameness, Animal",0
Language Development Disorders,5
Language Disorders,59
Larva Migrans,0
"Larva Migrans, Visceral",0
Laryngeal Diseases,28
Laryngeal Edema,0
Laryngeal Neoplasms,23
Laryngismus,0
Laryngitis,3
Laryngostenosis,0
Lassa Fever,5
Lathyrism,0
Laurence-Moon Syndrome,0
Lead Poisoning,0
Learning Disorders,15
Lecithin Cholesterol Acyltransferase Deficiency,0
Leg Dermatoses,0
Leg Injuries,15
Leg Length Inequality,0
Leg Ulcer,14
Legg-Calve-Perthes Disease,0
Legionellosis,1
Legionnaires' Disease,1
Leigh Disease,21
Leiomyoma,56
Leiomyosarcoma,35
Leishmaniasis,17
"Leishmaniasis, Mucocutaneous",0
"Leishmaniasis, Visceral",5
Lens Diseases,19
Lens Subluxation,0
Lentigo,2
Leprosy,28
Leptospirosis,6
Leriche Syndrome,0
Lesch-Nyhan Syndrome,1
Leukemia,2466
Leukemia L1210,0
Leukemia L5178,0
Leukemia P388,0
"Leukemia, Experimental",15
"Leukemia, Hairy Cell",65
"Leukemia, Lymphoid",1194
"Leukemia, Mast-Cell",1
"Leukemia, Megakaryoblastic, Acute",27
"Leukemia, Monocytic, Acute",9
"Leukemia, Myeloid",1115
"Leukemia, Plasma Cell",19
"Leukemia, Radiation-Induced",0
Leukemoid Reaction,1
Leukocyte Disorders,125
Leukocytosis,13
"Leukodystrophy, Globoid Cell",0
"Leukodystrophy, Metachromatic",6
"Leukoedema, Oral",0
"Leukoencephalopathy, Progressive Multifocal",3
"Leukomalacia, Periventricular",1
Leukopenia,21
Leukoplakia,7
"Leukoplakia, Oral",7
Leukorrhea,0
Levocardia,0
Leydig Cell Tumor,0
Lichen Planus,13
Linitis Plastica,0
Lip Diseases,9
Lip Neoplasms,0
"Lipid Metabolism, Inborn Errors",89
Mucopolysaccharidosis I,2
Lipodystrophy,11
Whipple Disease,1
Lipidoses,60
Lipoid Proteinosis of Urbach and Wiethe,0
Lipoma,15
Lipomatosis,1
"Lipomatosis, Multiple Symmetrical",0
Hyperlipoproteinemia Type I,1
Liposarcoma,64
Listeriosis,10
Liver Abscess,0
"Liver Abscess, Amebic",0
Liver Cirrhosis,102
"Liver Cirrhosis, Alcoholic",2
"Liver Cirrhosis, Biliary",12
"Liver Cirrhosis, Experimental",2
Liver Diseases,1533
"Liver Diseases, Alcoholic",27
"Liver Diseases, Parasitic",2
Liver Neoplasms,962
"Liver Neoplasms, Experimental",12
Loiasis,1
Long QT Syndrome,13
Lordosis,0
Louping Ill,0
Lown-Ganong-Levine Syndrome,5
Ludwig's Angina,1
Lumpy Skin Disease,0
Lung Abscess,0
Lung Diseases,2031
"Lung Diseases, Fungal",18
"Lung Diseases, Obstructive",316
"Lung Diseases, Parasitic",3
Lung Neoplasms,1272
Lupus Vulgaris,0
"Lupus Erythematosus, Cutaneous",15
"Lupus Erythematosus, Discoid",8
"Lupus Erythematosus, Systemic",256
Lupus Nephritis,24
Lutembacher Syndrome,0
Lyme Disease,19
Lymphadenitis,1
Lymphangiectasis,0
"Lymphangiectasis, Intestinal",0
Lymphangioma,0
Lymphangiomyoma,7
Lymphangiosarcoma,0
Lymphangitis,0
Lymphatic Diseases,3155
Lymphatic Metastasis,189
Lymphedema,10
Lymphocele,0
Lymphocytic Choriomeningitis,9
Lymphocytosis,10
Lymphogranuloma Venereum,0
Lymphoma,1081
"Lymphoma, Follicular",101
"Lymphoma, Non-Hodgkin",920
Lymphomatoid Granulomatosis,0
Lymphopenia,10
Lymphoproliferative Disorders,3394
Waldenstrom Macroglobulinemia,13
Macroglossia,0
Macrostomia,0
Macular Degeneration,42
Macular Edema,2
Mycetoma,0
Magnesium Deficiency,0
Malabsorption Syndromes,59
Malacoplakia,0
Malaria,57
"Malaria, Avian",0
Malignant Carcinoid Syndrome,2
Malignant Catarrh,0
Malignant Hyperthermia,0
Mallory-Weiss Syndrome,0
Malocclusion,5
"Malocclusion, Angle Class I",3
"Malocclusion, Angle Class II",1
"Malocclusion, Angle Class III",0
"Mammary Neoplasms, Experimental",63
Mandibular Diseases,2
Mandibular Fractures,0
Mandibular Injuries,0
Mandibular Neoplasms,0
Mandibulofacial Dysostosis,5
alpha-Mannosidosis,0
Mansonelliasis,0
Maple Syrup Urine Disease,1
Marburg Virus Disease,1
Marek Disease,0
Marfan Syndrome,7
Mastitis,4
"Mastitis, Bovine",3
Mastocytosis,10
Mastoiditis,0
Maxillary Diseases,0
Maxillary Fractures,0
Maxillary Neoplasms,0
Maxillary Sinus Neoplasms,2
Maxillofacial Injuries,0
Measles,11
Meconium Aspiration Syndrome,0
Mediastinal Cyst,1
Mediastinal Diseases,9
Mediastinal Emphysema,0
Mediastinal Neoplasms,7
Mediastinitis,1
Medulloblastoma,126
Megacolon,17
"Megacolon, Toxic",0
Meige Syndrome,0
Meigs Syndrome,0
Melanoma,815
"Melanoma, Experimental",41
Melanosis,6
Melioidosis,5
Melkersson-Rosenthal Syndrome,3
Melorheostosis,2
Memory Disorders,22
Meniere Disease,1
Meningeal Neoplasms,131
Meningioma,128
Meningism,0
Meningitis,157
"Meningitis, Aseptic",0
"Meningitis, Haemophilus",4
"Meningitis, Listeria",2
"Meningitis, Meningococcal",0
"Meningitis, Pneumococcal",0
"Meningitis, Viral",10
Meningocele,0
Meningococcal Infections,2
Meningoencephalitis,50
Meningomyelocele,2
"Menopause, Premature",5
Menorrhagia,0
Menstruation Disturbances,0
Intellectual Disability,360
Mercury Poisoning,0
Mesenchymoma,1
Mesenteric Cyst,0
Mesenteric Lymphadenitis,0
Mesenteric Vascular Occlusion,1
Mesial Movement of Teeth,0
Mesonephroma,3
Mesothelioma,57
Metabolic Diseases,1864
"Metabolism, Inborn Errors",553
"Metal Metabolism, Inborn Errors",36
Metaplasia,0
Methemoglobinemia,0
Metrorrhagia,4
Microcephaly,24
Micrognathism,2
Microphthalmos,15
Microstomia,0
Middle Lobe Syndrome,1
Migraine Disorders,17
Mikulicz' Disease,0
Miliaria,1
Mite Infestations,1
Mitral Valve Insufficiency,1
Mitral Valve Prolapse,0
Mitral Valve Stenosis,1
Mixed Connective Tissue Disease,0
"Adenoma, Pleomorphic",2
Molluscum Contagiosum,0
Monieziasis,0
Monkey Diseases,37
Monoclonal Gammopathy of Undetermined Significance,20
Monosomy,0
"Abnormalities, Severe Teratoid",2
Monteggia's Fracture,0
Morphine Dependence,0
Motion Sickness,0
"Fluorosis, Dental",4
Mouth Abnormalities,14
Stomatognathic Diseases,661
Mouth Breathing,0
Mouth Diseases,465
Mouth Neoplasms,175
"Mouth, Edentulous",0
Movement Disorders,445
Moyamoya Disease,4
Mucocele,0
Mucocutaneous Lymph Node Syndrome,92
Mucolipidoses,12
Mucopolysaccharidoses,10
Mucopolysaccharidosis III,5
Mucopolysaccharidosis IV,0
Mucopolysaccharidosis VI,0
Mucormycosis,1
Multiple Carboxylase Deficiency,0
Multiple Myeloma,410
Multiple Organ Failure,0
Multiple Sclerosis,214
Multiple Trauma,0
Mumps,1
Muscle Cramp,0
Muscle Hypertonia,2
Muscle Hypotonia,14
Muscle Rigidity,0
Muscle Spasticity,0
Muscular Atrophy,26
"Muscular Atrophy, Spinal",22
Muscular Diseases,417
Muscular Dystrophies,110
"Muscular Dystrophy, Animal",4
Musculoskeletal Abnormalities,325
Musculoskeletal Diseases,1660
Mushroom Poisoning,0
Mutism,0
Myasthenia Gravis,7
Mycobacterium Infections,315
"Mycobacterium Infections, Nontuberculous",18
Mycoplasma Infections,3
Mycoplasmatales Infections,3
Mycoses,37
Mycosis Fungoides,11
Myelitis,17
"Myelitis, Transverse",1
Myelodysplastic Syndromes,171
Myeloproliferative Disorders,230
Myiasis,0
Cardiomyopathies,131
Myocardial Infarction,72
Myocarditis,6
Myoclonus,2
Myoepithelioma,12
Myofascial Pain Syndromes,0
Myoglobinuria,0
Myoma,1
Myopia,5
Myosarcoma,84
Myositis,88
Myositis Ossificans,7
Myotonia,5
Myotonic Dystrophy,30
Myotonia Congenita,2
Myxedema,0
Myxoma,17
"Myxomatosis, Infectious",0
Myxosarcoma,0
Nail Diseases,3
Nail-Patella Syndrome,0
"Nails, Ingrown",0
"Nails, Malformed",0
Nairobi Sheep Disease,0
Narcolepsy,1
Opioid-Related Disorders,2
Nasal Polyps,15
Nasopharyngeal Diseases,61
Nasopharyngeal Neoplasms,59
Nasopharyngitis,6
Nausea,0
Necatoriasis,0
Necrobiosis Lipoidica,0
Necrosis,0
Nelson Syndrome,0
Nematode Infections,15
Neonatal Abstinence Syndrome,0
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",3632
Neoplasm Invasiveness,766
Neoplasm Metastasis,1431
"Neoplasm Recurrence, Local",275
"Neoplasm Regression, Spontaneous",6
Neoplasm Seeding,2
Neoplasms,26085
Neoplasms by Histologic Type,12163
Neoplasms by Site,13089
"Neoplasms, Connective Tissue",846
"Neoplasms, Germ Cell and Embryonal",2926
"Neoplasms, Experimental",251
"Neoplasms, Glandular and Epithelial",6032
"Neoplasms, Hormone-Dependent",53
Multiple Endocrine Neoplasia,12
"Neoplasms, Multiple Primary",184
"Neoplasms, Muscle Tissue",178
"Neoplasms, Nerve Tissue",2822
"Neoplasms, Radiation-Induced",10
"Neoplasms, Unknown Primary",5
"Neoplasms, Vascular Tissue",231
Paraneoplastic Endocrine Syndromes,1
Neoplastic Processes,3577
"Neoplastic Syndromes, Hereditary",534
"Neovascularization, Pathologic",0
Nephritis,77
"Nephritis, Hereditary",1
"Nephritis, Interstitial",16
Wilms Tumor,66
Nephrocalcinosis,0
Nephrosclerosis,4
Nephrosis,26
"Nephrosis, Lipoid",13
Nephrotic Syndrome,14
Nerve Compression Syndromes,5
Nerve Degeneration,0
Nervous System Malformations,301
Nervous System Diseases,5282
Nervous System Neoplasms,1328
Neural Tube Defects,50
Neuralgia,4
Neurilemmoma,38
Neuritis,0
"Neuritis, Autoimmune, Experimental",0
Neuroblastoma,424
Neurodermatitis,7
Neurofibroma,59
Neurofibromatosis 1,23
Neuroleptic Malignant Syndrome,2
Neurologic Manifestations,873
Neuroma,38
"Neuroma, Acoustic",31
Neuromuscular Diseases,723
Neuromyelitis Optica,1
Neuronal Ceroid-Lipofuscinoses,3
Hereditary Sensory and Autonomic Neuropathies,7
Neurosyphilis,1
Neutropenia,10
Nevus,67
Nevus of Ota,0
"Nevus, Pigmented",18
Newcastle Disease,3
Niemann-Pick Diseases,4
Nocardia Infections,0
Noma,1
"Nondisjunction, Genetic",0
Nonodontogenic Cysts,0
Noonan Syndrome,1
"Nose Deformities, Acquired",0
Nose Diseases,59
Nose Neoplasms,12
Nutrition Disorders,637
Nutritional and Metabolic Diseases,2275
Night Blindness,0
"Nystagmus, Pathologic",5
Obesity,394
"Obesity, Morbid",32
"Dermatitis, Occupational",1
Occupational Diseases,59
Ochronosis,0
Ocular Hypertension,35
Oculocerebrorenal Syndrome,13
Odontogenic Cysts,4
Odontogenic Tumors,5
Odontoma,1
Oesophagostomiasis,0
Oligodendroglioma,24
Oligomenorrhea,0
Oligospermia,5
Oliguria,0
Olivopontocerebellar Atrophies,2
Onchocerciasis,2
Oophoritis,0
Endophthalmitis,1
Ophthalmia Neonatorum,0
"Ophthalmia, Sympathetic",0
Ophthalmoplegia,13
Opisthorchiasis,1
Opportunistic Infections,11
Optic Atrophy,3
Optic Nerve Diseases,41
Optic Neuritis,2
Oral Manifestations,0
Oral Submucous Fibrosis,5
Orbital Diseases,11
Orbital Fractures,0
Orbital Neoplasms,0
Orchitis,0
Psittacosis,1
Oroantral Fistula,0
Orofaciodigital Syndromes,0
Oropharyngeal Neoplasms,28
Orthomyxoviridae Infections,225
"Ossification, Heterotopic",0
Osteitis,2
Osteitis Deformans,7
Osteitis Fibrosa Cystica,0
Osteoarthritis,112
"Osteoarthropathy, Primary Hypertrophic",1
"Osteoarthropathy, Secondary Hypertrophic",0
Osteochondritis,0
Osteochondritis Dissecans,0
Osteochondrodysplasias,44
Osteogenesis Imperfecta,1
Osteolysis,16
"Osteolysis, Essential",0
Osteoma,3
"Osteoma, Osteoid",1
Osteomalacia,1
Osteomyelitis,1
Osteonecrosis,6
Osteopetrosis,0
Osteopoikilosis,0
Osteoporosis,53
Osteoradionecrosis,0
Osteosclerosis,5
Ostertagiasis,0
Otitis,15
Otitis Externa,0
Otitis Media,14
Otitis Media with Effusion,0
"Otitis Media, Suppurative",0
Otorhinolaryngologic Diseases,328
Otorhinolaryngologic Neoplasms,164
Otosclerosis,0
Ovarian Cysts,37
Ovarian Diseases,793
Ovarian Neoplasms,704
Oxyuriasis,0
"Paget's Disease, Mammary",0
"Paget Disease, Extramammary",0
Pain,0
"Pain, Intractable",0
"Pain, Postoperative",0
Palatal Neoplasms,0
Pallor,0
Pancoast Syndrome,0
Pancreatic Cyst,1
Pancreatic Diseases,582
Pancreatic Fistula,0
Exocrine Pancreatic Insufficiency,3
Pancreatic Neoplasms,468
Pancreatic Pseudocyst,1
Pancreatitis,80
Pancytopenia,2
"Panniculitis, Nodular Nonsuppurative",0
Panophthalmitis,0
Papilledema,1
Papilloma,18
Papillon-Lefevre Disease,3
Phlebotomus Fever,0
Paracoccidioidomycosis,0
Paraganglioma,37
"Paraganglioma, Extra-Adrenal",0
Paragonimiasis,0
Parakeratosis,0
Paralysis,23
"Bulbar Palsy, Progressive",0
"Paralyses, Familial Periodic",0
"Paralysis, Obstetric",0
Parametritis,0
