"Diease_TreeNumber","Disease_Mesh_Heading","Disease_Count"
"C06.267.250","Esophageal Fistula","1"
"C04.588.274.476.205","Esophageal Neoplasms","216"
"C06.405.117.468","Esophageal Perforation","0"
"C06.405.117.544","Esophageal Stenosis","0"
"C06.405.117.620","Esophagitis","50"
"C06.405.117.620.420","Esophagitis, Peptic","0"
"C10.292.562.887.300","Esotropia","0"
"C19.391.482.293","Eunuchism","0"
"C19.874.255","Euthyroid Sick Syndromes","12"
"C17.800.257","Exanthema","5"
"C02.256.466.850.290","Exanthema Subitum","3"
"C11.675.349","Exophthalmos","10"
"C05.116.540.310","Exostoses","2"
"C04.557.450.565.575.610.615.325","Exostoses, Multiple Hereditary","1"
"C10.292.562.887.650","Exotropia","0"
"C14.280.067.325","Cardiac Complexes, Premature","6"
"C23.550.340","Extravasation of Diagnostic and Therapeutic Materials","4"
"C11.250","Eye Abnormalities","61"
"C10.900.300.284.250.250","Eye Burns","0"
"C11","Eye Diseases","847"
"C10.900.300.284.250.260","Eye Foreign Bodies","0"
"C11.290","Eye Hemorrhage","1"
"C10.900.300.284.250","Eye Injuries","1"
"C11.300","Eye Manifestations","0"
"C04.588.364","Eye Neoplasms","147"
"C11.338","Eyelid Diseases","4"
"C04.588.443.392.500","Eyelid Neoplasms","0"
"C23.300.505","Facial Asymmetry","0"
"C17.800.271","Facial Dermatoses","2"
"C07.465.284","Facial Hemiatrophy","0"
"C10.900.300.284","Facial Injuries","1"
"C04.588.443.392","Facial Neoplasms","1"
"C07.465.299","Facial Nerve Diseases","13"
"C07.465.299.625","Facial Neuralgia","1"
"C23.888.592.612.330","Facial Pain","0"
"C07.465.327","Facial Paralysis","0"
"C15.378.100.100.300","Factor V Deficiency","0"
"C15.378.100.100.310","Factor VII Deficiency","0"
"C15.378.100.100.320","Factor X Deficiency","0"
"C15.378.100.100.325","Factor XI Deficiency","1"
"C15.378.100.100.330","Factor XII Deficiency","0"
"C15.378.100.100.335","Factor XIII Deficiency","0"
"C23.888.338","Failure to Thrive","0"
"C13.351.500.056.390","Fallopian Tube Diseases","30"
"C04.588.945.418.365","Fallopian Tube Neoplasms","18"
"C12.777.419.815.450","Fanconi Syndrome","103"
"C15.378.071.085.080.280","Fanconi Anemia","23"
"C08.381.483.125.365","Farmer's Lung","0"
"C10.597.613.250","Fasciculation","3"
"C05.321","Fasciitis","2"
"C03.335.865.354","Fascioliasis","2"
"C03.335.349.444","Fascioloidiasis","0"
"C23.550.717.365","Fat Necrosis","0"
"C23.888.369","Fatigue","0"
"C23.888.369.500","Mental Fatigue","0"
"C06.552.241","Fatty Liver","66"
"C06.552.241.390","Fatty Liver, Alcoholic","14"
"C15.378.071.141.150.480.370","Favism","0"
"C06.405.469.860.300","Fecal Incontinence","0"
"C06.405.469.531.424","Fecal Impaction","0"
"C02.256.700.363","Feline Panleukopenia","3"
"C05.550.114.154.389","Felty Syndrome","0"
"C13","Female Urogenital Diseases and Pregnancy Complications","2867"
"C23.888.378","Feminization","0"
"C26.404.061","Femoral Fractures","6"
"C26.404.061.425.500","Femoral Neck Fractures","6"
"C04.588.149.276","Femoral Neoplasms","0"
"C05.116.852.175","Femur Head Necrosis","2"
"C13.703.277.390","Fetal Hypoxia","0"
"C13.703.223","Fetal Death","6"
"C13.703.277","Fetal Diseases","66"
"C23.888.380","Fetal Distress","0"
"C13.703.277.370","Fetal Growth Retardation","43"
"C13.703.170.500","Fetal Macrosomia","3"
"C13.703.420.339","Fetal Membranes, Premature Rupture","12"
"C13.703.223.300","Fetal Resorption","0"
"C15.378.071.363.344","Fetofetal Transfusion","3"
"C15.378.071.363.511","Fetomaternal Transfusion","0"
"C23.888.119.344","Fever","0"
"C23.888.119.344.345","Fever of Unknown Origin","0"
"C17.800.090.750","Fibrocystic Breast Disease","26"
"C04.557.450.565.590.340","Fibroma","20"
"C07.465.525.304","Fibromatosis, Gingival","3"
"C14.907.137.372","Fibromuscular Dysplasia","0"
"C04.557.450.565.590.350","Fibrosarcoma","42"
"C23.550.355","Fibrosis","0"
"C05.651.324","Fibromyalgia","8"
"C05.116.099.708.375","Fibrous Dysplasia of Bone","7"
"C05.116.099.708.375.372","Fibrous Dysplasia, Monostotic","0"
"C05.116.099.708.375.381","Fibrous Dysplasia, Polyostotic","6"
"C03.335.508.700.750.361","Filariasis","9"
"C26.448.429","Finger Injuries","1"
"C22.362","Fish Diseases","0"
"C06.405.469.860.101.430","Fissure in Ano","0"
"C23.300.575","Fistula","0"
"C26.891.315","Flail Chest","0"
"C05.330.488.655.250","Flatfoot","0"
"C23.888.821.360","Flatulence","0"
"C25.723.380","Fluoride Poisoning","0"
"C23.888.885.344","Flushing","0"
"C05.116.099.370.380","Focal Dermal Hypoplasia","1"
"C01.539.392","Focal Infection","1"
"C01.539.392.433","Focal Infection, Dental","0"
"C18.654.521.500.133.699.308","Folic Acid Deficiency","2"
"C04.182.300","Follicular Cyst","0"
"C17.800.329.500","Folliculitis","0"
"C20.543.480.370","Food Hypersensitivity","6"
"C25.723.415","Foodborne Diseases","4"
"C05.330","Foot Deformities","4"
"C05.330.488","Foot Deformities, Acquired","1"
"C05.330.495","Foot Deformities, Congenital","4"
"C17.800.321.125","Foot Dermatoses","7"
"C05.360","Foot Diseases","7"
"C22.394","Foot Rot","0"
"C02.782.687.484","Foot-and-Mouth Disease","0"
"C26.088.268","Forearm Injuries","0"
"C26.392","Foreign Bodies","0"
"C26.392.500","Foreign-Body Migration","0"
"C23.550.470.251","Foreign-Body Reaction","0"
"C02.782.620.300","Influenza in Birds","20"
"C02.256.743.366","Fowlpox","0"
"C17.800.946.492.285","Fox-Fordyce Disease","0"
"C26.404.124","Fractures, Closed","0"
"C26.404.311","Fractures, Open","10"
"C26.404.374","Fractures, Spontaneous","5"
"C26.404.468","Fractures, Ununited","2"
"C10.597.606.360.455.500","Fragile X Syndrome","41"
"C12.706.316.795.124","Freemartinism","0"
"C10.228.140.252.700.150","Friedreich Ataxia","42"
"C26.212.500","Frostbite","0"
"C16.320.565.202.251.271","Fructose Intolerance","1"
"C11.204.236.438","Fuchs' Endothelial Dystrophy","32"
"C10.228.140.163.100.435.295","Fucosidosis","0"
"C05.116.099.386","Funnel Chest","0"
"C01.252.410.868.820.270","Furunculosis","0"
"C07.650.800.370","Fused Teeth","2"
"C01.252.400.388.350","Fusobacterium Infections","1"
"C23.888.821.414","Gagging","0"
"C13.703.844.506.389","Galactorrhea","0"
"C10.228.140.163.100.320","Galactosemias","2"
"C06.130.564","Gallbladder Diseases","14"
"C04.588.274.120.401","Gallbladder Neoplasms","5"
"C04.557.465.625.600.355","Ganglioneuroma","3"
"C10.228.140.163.100.435.825.300","Gangliosidoses","10"
"C23.550.717.427","Gangrene","0"
"C04.557.470.035.215.100.500","Gardner Syndrome","0"
"C01.252.410.222.440","Gas Gangrene","0"
"C25.723.455","Gas Poisoning","0"
"C06.267.375","Gastric Fistula","0"
"C06.405.205.697","Gastritis","24"
"C06.405.205.697.394","Gastritis, Atrophic","4"
"C06.405.205.697.410","Gastritis, Hypertrophic","0"
"C06.405.205","Gastroenteritis","423"
"C02.782.600.550.200.400","Gastroenteritis, Transmissible, of Swine","0"
"C06.405.117.119.500.484","Gastroesophageal Reflux","15"
"C06.405","Gastrointestinal Diseases","2733"
"C04.588.274.476","Gastrointestinal Neoplasms","2201"
"C10.228.140.163.100.435.825.400","Gaucher Disease","11"
"C13.351.500","Genital Diseases, Female","1278"
"C12.294","Genital Diseases, Male","1583"
"C04.588.945.418","Genital Neoplasms, Female","998"
"C04.588.945.440","Genital Neoplasms, Male","1457"
"C01.703.392","Geotrichosis","0"
"C10.597.606.762.100.300","Gerstmann Syndrome","0"
"C04.557.450.565.380","Giant Cell Tumors","6"
"C15.604.515.245","Castleman Disease","8"
"C03.432.481","Giardiasis","0"
"C05.116.099.492","Gigantism","4"
"C16.320.565.300.528","Gilbert Disease","0"
"C10.228.140.079.898","Tourette Syndrome","4"
"C07.465.714.258","Gingival Diseases","16"
"C07.465.625.446","Gingival Hemorrhage","1"
"C07.465.714.258.428.250","Gingival Hyperplasia","0"
"C07.465.714.258.428.260","Gingival Hypertrophy","0"
"C04.588.443.591.402","Gingival Neoplasms","1"
"C07.465.714.258.480.360","Gingival Pocket","0"
"C07.465.714.258.447","Gingival Recession","2"
"C07.465.714.258.480","Gingivitis","11"
"C01.252.400.388.350.400","Gingivitis, Necrotizing Ulcerative","0"
"C01.252.400.170.400","Glanders","0"
"C11.525.381","Glaucoma","35"
"C11.525.381.407","Glaucoma, Open-Angle","15"
"C04.557.465.625.600.380.080.335","Glioblastoma","657"
"C04.557.465.625.600.380","Glioma","1125"
"C23.550.369","Gliosis","0"
"C04.557.645.350","Glomus Tumor","0"
"C12.777.419.570.363","Glomerulonephritis","63"
"C12.777.419.570.363.608","Glomerulonephritis, IGA","23"
"C12.777.419.570.363.660","Glomerulosclerosis, Focal Segmental","12"
"C04.557.465.625.650.700.705.340","Glomus Jugulare Tumor","0"
"C07.465.910.280","Glossalgia","0"
"C07.465.910.363","Glossitis","0"
"C07.465.910.363.447","Glossitis, Benign Migratory","0"
"C04.557.470.200.025.290.750","Glucagonoma","4"
"C16.320.565.202.449.448","Glycogen Storage Disease Type I","1"
"C15.378.071.141.150.480","Glucosephosphate Dehydrogenase Deficiency","0"
"C16.320.565.202.449","Glycogen Storage Disease","33"
"C10.228.140.163.100.435.340","Glycogen Storage Disease Type II","26"
"C16.320.565.202.449.520","Glycogen Storage Disease Type III","0"
"C16.320.565.202.449.540","Glycogen Storage Disease Type IV","6"
"C16.320.565.202.449.560","Glycogen Storage Disease Type V","0"
"C16.320.565.202.449.580","Glycogen Storage Disease Type VI","0"
"C05.651.534.500.149","Glycogen Storage Disease Type VII","0"
"C16.320.322.217","Glycogen Storage Disease Type VIII","0"
"C12.777.934.363","Glycosuria","1"
"C12.777.419.815.532","Glycosuria, Renal","0"
"C19.874.283","Goiter","18"
"C19.874.283.300","Goiter, Endemic","4"
"C19.874.283.501","Goiter, Nodular","2"
"C19.874.283.601","Goiter, Substernal","0"
"C05.116.099.370.231.576.410","Goldenhar Syndrome","1"
"C19.391","Gonadal Disorders","1083"
"C12.706.316.309","Gonadal Dysgenesis","11"
"C12.706.316.309.391","Gonadal Dysgenesis, Mixed","0"
"C12.706.316.096.687","Gonadal Dysgenesis, 46,XY","0"
"C01.252.400.625.391","Gonorrhea","1"
"C05.550.114.423","Gout","2"
"C23.550.767.400","Graft Occlusion, Vascular","0"
"C20.452","Graft vs Host Disease","58"
"C15.604.515.292","Granuloma","26"
"C01.252.400.310.416","Granuloma Inguinale","0"
"C05.500.368","Granuloma, Giant Cell","0"
"C08.280.400","Granuloma, Laryngeal","0"
"C08.460.393","Granuloma, Lethal Midline","0"
"C23.550.382.875","Granuloma, Plasma Cell","0"
"C15.378.553.774.535","Granulomatous Disease, Chronic","8"
"C04.557.475.750.656","Granulosa Cell Tumor","2"
"C11.675.349.500","Graves Disease","10"
"C23.550.393","Growth Disorders","0"
"C13.351.500.320","Gynatresia","0"
"C17.800.090.875","Gynecomastia","1"
"C03.335.508.700.775.825.400","Haemonchiasis","0"
"C01.252.400.700.433","Haemophilus Infections","6"
"C17.800.329","Hair Diseases","46"
"C23.888.821.475","Halitosis","0"
"C05.116.099.370.231.427","Hallermann's Syndrome","0"
"C10.228.140.079.800","Pantothenate Kinase-Associated Neurodegeneration","3"
"C10.597.606.762.300","Hallucinations","0"
"C05.330.610","Hallux Valgus","0"
"C04.445","Hamartoma","158"
"C04.445.435","Hamartoma Syndrome, Multiple","140"
"C05.390","Hand Deformities","4"
"C05.390.110","Hand Deformities, Acquired","0"
"C05.390.408","Hand Deformities, Congenital","4"
"C17.800.338","Hand Dermatoses","7"
"C26.448","Hand Injuries","1"
"C02.782.687.359.213.331","Hand, Foot and Mouth Disease","3"
"C10.228.140.163.100.355","Hartnup Disease","0"
"C08.460.799.315.750","Rhinitis, Allergic, Seasonal","17"
"C04.588.443","Head and Neck Neoplasms","796"
"C10.900.300","Craniocerebral Trauma","29"
"C23.888.592.612.441","Headache","0"
"C09.218.458","Hearing Disorders","41"
"C09.218.458.341.374","Hearing Loss, Bilateral","0"
"C09.218.458.341.887.432","Hearing Loss, Central","0"
"C09.218.458.341.562","Hearing Loss, Conductive","0"
"C09.218.458.341.750","Hearing Loss, Functional","1"
"C09.218.458.341.812","Hearing Loss, High-Frequency","1"
"C09.218.458.341.887.460","Hearing Loss, Noise-Induced","0"
"C09.218.458.341.887","Hearing Loss, Sensorineural","3"
"C14.280.358","Heart Aneurysm","0"
"C14.280.383","Heart Arrest","7"
"C14.280.067.558","Heart Block","17"
"C14.240.400","Heart Defects, Congenital","117"
"C14.280","Heart Diseases","756"
"C14.280.195","Cardiomegaly","66"
"C14.280.434","Heart Failure","104"
"C26.891.375","Heart Injuries","2"
"C23.888.447","Heart Murmurs","0"
"C04.588.894.309","Heart Neoplasms","24"
"C14.280.470","Heart Rupture","0"
"C14.280.470.475","Heart Rupture, Post-Infarction","0"
"C14.240.400.560","Heart Septal Defects","8"
"C14.240.400.560.375","Heart Septal Defects, Atrial","2"
"C14.240.400.560.540","Heart Septal Defects, Ventricular","6"
"C14.280.484","Heart Valve Diseases","87"
"C23.888.821.525","Heartburn","0"
"C01.252.400.054.160.400","Heartwater Disease","0"
"C26.522.250","Heat Exhaustion","0"
"C15.378.147.780.490","Heavy Chain Disease","2"
"C03.335","Helminthiasis","23"
"C03.335.349","Helminthiasis, Animal","0"
"C04.557.645.375.370","Hemangioendothelioma","1"
"C04.557.645.375","Hemangioma","30"
"C04.557.645.375.385","Hemangioma, Cavernous","20"
"C04.557.645.380","Hemangiopericytoma","0"
"C04.557.450.795.390","Hemangiosarcoma","6"
"C05.550.459","Hemarthrosis","0"
"C06.405.227.400","Hematemesis","0"
"C12.294.287","Hematocele","0"
"C13.351.500.894.300","Hematocolpos","0"
"C15.378","Hematologic Diseases","1507"
"C23.550.414.838","Hematoma","0"
"C10.228.140.300.535.450.300","Hematoma, Epidural, Cranial","0"
"C10.228.140.300.535.450.400","Hematoma, Subdural","0"
"C13.351.500.852.495","Hematometra","0"
"C12.777.934.442","Hematuria","1"
"C10.597.751.941.512","Hemianopsia","0"
"C15","Hemic and Lymphatic Diseases","4447"
"C10.597.622.295","Hemiplegia","1"
"C23.550.414.864","Hemobilia","0"
"C16.320.565.618.337","Hemochromatosis","8"
"C15.378.071.141.150.490","Hemoglobin C Disease","2"
"C15.378.071.141.150.150.440","Hemoglobin SC Disease","0"
"C15.378.420","Hemoglobinopathies","66"
"C12.777.934.734.634","Hemoglobinuria","0"
"C15.378.071.141.560","Hemoglobinuria, Paroxysmal","5"
"C23.550.403","Hemolysis","0"
"C12.777.419.936.463","Hemolytic-Uremic Syndrome","11"
"C06.844.400","Hemoperitoneum","0"
"C15.378.100.100.500","Hemophilia A","5"
"C08.528.338","Hemopneumothorax","0"
"C08.381.348","Hemoptysis","0"
"C23.550.414","Hemorrhage","0"
"C06.405.227","Gastrointestinal Hemorrhage","1"
"C07.465.625","Oral Hemorrhage","1"
"C13.703.420.725","Postpartum Hemorrhage","0"
"C15.378.463","Hemorrhagic Disorders","538"
"C15.378.100.920.360","Vitamin K Deficiency Bleeding","2"
"C02.782.082.440","Hemorrhagic Fever, American","4"
"C02.081.885.430","Hemorrhagic Fever, Crimean","0"
"C02.782.147.420.400","Hemorrhagic Fever with Renal Syndrome","11"
"C02.081.885.440","Hemorrhagic Fever, Omsk","0"
"C02.782.417","Hemorrhagic Fevers, Viral","97"
"C01.252.100.375","Hemorrhagic Septicemia","2"
"C06.405.469.860.401","Hemorrhoids","0"
"C18.452.565.500.500","Hemosiderosis","3"
"C08.528.380","Hemothorax","0"
"C06.552.308.500.356","Hepatic Encephalopathy","3"
"C06.552.347","Budd-Chiari Syndrome","0"
"C06.552.360","Hepatic Veno-Occlusive Disease","1"
"C06.552.380","Hepatitis","427"
"C02.440.420","Hepatitis A","37"
"C02.256.430.400","Hepatitis B","121"
"C06.552.380.290","Hepatitis, Alcoholic","8"
"C06.552.380.315","Hepatitis, Animal","2"
"C06.552.380.350","Hepatitis, Chronic","108"
"C02.256.076.381","Hepatitis, Infectious Canine","0"
"C02.407","Hepatitis, Viral, Animal","2"
"C02.440","Hepatitis, Viral, Human","363"
"C02.440.440","Hepatitis C","190"
"C06.552.413","Hepatolenticular Degeneration","12"
"C04.557.470.200.025.255","Carcinoma, Hepatocellular","780"
"C06.552.416","Hepatomegaly","0"
"C06.552.465","Hepatorenal Syndrome","0"
"C23.300.707","Hernia","0"
"C23.300.707.500","Hernia, Diaphragmatic","0"
"C23.300.707.500.233","Hernia, Diaphragmatic, Traumatic","0"
"C23.300.707.374.750","Hernia, Femoral","0"
"C23.300.707.500.467","Hernia, Hiatal","0"
"C23.300.707.374.875","Hernia, Inguinal","0"
"C23.300.707.937","Hernia, Obturator","0"
"C16.614.378","Hernia, Umbilical","0"
"C23.300.707.374.937","Hernia, Ventral","0"
"C25.775.675.400","Heroin Dependence","2"
"C02.782.687.359.213.466","Herpangina","0"
"C02.256.466.382.290","Herpes Genitalis","4"
"C13.703.570","Pemphigoid Gestationis","0"
"C02.256.466.382.316","Herpes Labialis","0"
"C02.256.466.382","Herpes Simplex","24"
"C02.256.466.930.750","Herpes Zoster","5"
"C02.256.466.930.750.466","Herpes Zoster Ophthalmicus","0"
"C02.256.466","Herpesviridae Infections","513"
"C23.888.821.578","Hiccup","0"
"C04.557.470.035.175","Adenoma, Sweat Gland","1"
"C10.228.566","High Pressure Neurological Syndrome","0"
"C05.550.323.468","Hip Contracture","0"
"C05.550.518.384","Hip Dislocation","0"
"C05.660.449","Hip Dislocation, Congenital","0"
"C22.268.485","Hip Dysplasia, Canine","0"
"C26.404.061.425","Hip Fractures","6"
"C10.562.925","von Hippel-Lindau Disease","55"
"C06.198.439","Hirschsprung Disease","17"
"C17.800.329.750","Hirsutism","1"
"C08.381.483.375","Histiocytosis, Langerhans-Cell","4"
"C01.703.450","Histoplasmosis","0"
"C02.782.815.616.400.500","HIV Seropositivity","7"
"C08.360.940.490","Hoarseness","0"
"C04.557.386.355","Hodgkin Disease","115"
"C02.782.350.675.200","Classical Swine Fever","0"
"C10.228.140.163.100.365","Homocystinuria","5"
"C03.335.508.700.775.455","Hookworm Infections","0"
"C01.252.354.400","Hordeolum","0"
"C10.177.350","Horner Syndrome","0"
"C22.488","Horse Diseases","0"
"C02.782.815.200","Deltaretrovirus Infections","26"
"C26.088.390","Humeral Fractures","0"
"C10.228.140.079.545","Huntington Disease","118"
"C08.381.842.475","Hyaline Membrane Disease","0"
"C04.557.465.955.416.812","Hydatidiform Mole","8"
"C13.703.610","Polyhydramnios","0"
"C10.500.450","Hydranencephaly","0"
"C05.550.509","Hydrarthrosis","0"
"C17.800.600.425","Hydroa Vacciniforme","0"
"C12.294.882","Testicular Hydrocele","0"
"C10.228.140.602","Hydrocephalus","7"
"C10.228.140.602.750","Hydrocephalus, Normal Pressure","1"
"C12.777.419.307","Hydronephrosis","0"
"C11.250.480","Hydrophthalmos","0"
"C08.528.434","Hydropneumothorax","0"
"C08.528.476","Hydrothorax","0"
"C03.335.190.519","Hymenolepiasis","0"
"C19.053.800.604","Hyperaldosteronism","212"
"C10.597.751.791.400","Hyperalgesia","5"
"C23.550.429","Hyperbilirubinemia","0"
"C16.320.565.300","Hyperbilirubinemia, Hereditary","5"
"C18.452.174.451","Hypercalcemia","2"
"C23.888.852.544","Hypercapnia","0"
"C07.793.422","Hypercementosis","0"
"C18.452.584.500.500.396","Hypercholesterolemia","9"
"C16.320.565.398.481","Hyperlipoproteinemia Type II","6"
"C13.703.407.500","Hyperemesis Gravidarum","0"
"C14.907.474","Hyperemia","1"
"C10.597.751.791.450","Hyperesthesia","0"
"C15.378.147.542","Hypergammaglobulinemia","24"
"C18.452.394.952","Hyperglycemia","52"
"C19.246.099.750.490","Hyperglycemic Hyperosmolar Nonketotic Coma","3"
"C17.800.946.350","Hyperhidrosis","1"
"C18.452.394.968","Hyperinsulinism","201"
"C18.452.950.396","Hyperkalemia","0"
"C10.597.350.350","Hyperkinesis","4"
"C18.452.584.500.500","Hyperlipidemias","36"
"C16.320.565.398.450","Hyperlipidemia, Familial Combined","6"
"C18.452.584.500.500.644","Hyperlipoproteinemias","8"
"C16.320.565.398.483","Hyperlipoproteinemia Type III","1"
"C16.320.565.398.487","Hyperlipoproteinemia Type IV","0"
"C16.320.565.398.493","Hyperlipoproteinemia Type V","0"
"C18.452.950.452","Hypernatremia","0"
"C11.744.479","Hyperopia","0"
"C05.116.099.708.486","Hyperostosis Frontalis Interna","0"
"C05.116.099.708.479","Hyperostosis, Cortical, Congenital","0"
"C12.777.419.313","Hyperoxaluria","1"
"C12.777.419.313.500","Hyperoxaluria, Primary","0"
"C19.642.355","Hyperparathyroidism","10"
"C19.642.355.480","Hyperparathyroidism, Secondary","3"
"C23.888.821.645","Hyperphagia","0"
"C10.228.140.617.738.250","Hyperpituitarism","10"
"C23.550.444","Hyperplasia","0"
"C10.228.140.617.738.250.450","Hyperprolactinemia","2"
"C20.543","Hypersensitivity","406"
"C20.543.418","Hypersensitivity, Delayed","14"
"C20.543.480","Hypersensitivity, Immediate","320"
"C10.886.425.800.200","Disorders of Excessive Somnolence","1"
"C15.604.744.293","Hypersplenism","0"
"C05.116.099.370.231.480","Hypertelorism","1"
"C14.907.489","Hypertension","61"
"C14.907.489.330","Hypertension, Malignant","0"
"C06.552.494","Hypertension, Portal","6"
"C08.381.423","Hypertension, Pulmonary","48"
"C12.777.419.331","Hypertension, Renal","2"
"C12.777.419.331.490","Hypertension, Renovascular","1"
"C19.874.397","Hyperthyroidism","12"
"C19.874.410","Hyperthyroxinemia","0"
"C17.800.329.875","Hypertrichosis","0"
"C23.300.775","Hypertrophy","0"
"C08.618.501","Hyperventilation","1"
"C18.654.301","Hypervitaminosis A","0"
"C10.597.751.791.500","Hypesthesia","0"
"C11.290.484","Hyphema","0"
"C19.053.500.480","Hypoaldosteronism","0"
"C16.320.565.398.500.440","Hypobetalipoproteinemias","5"
"C18.452.174.509","Hypocalcemia","0"
"C03.858.211.503.398","Hypodermyiasis","0"
"C18.452.394.984","Hypoglycemia","4"
"C19.391.482","Hypogonadism","18"
"C17.800.946.370","Hypohidrosis","1"
"C18.452.950.565","Hypokalemia","1"
"C16.320.565.398.500","Hypolipoproteinemias","10"
"C18.452.950.620","Hyponatremia","0"
"C19.642.482","Hypoparathyroidism","9"
"C04.588.443.665.710.485","Hypopharyngeal Neoplasms","9"
"C16.320.565.618.482","Hypophosphatasia","0"
"C12.777.419.815.647","Hypophosphatemia, Familial","8"
"C10.228.140.617.738.300","Hypopituitarism","4"
"C15.378.147.607","Hypoproteinemia","1"
"C15.378.100.100.550","Hypoprothrombinemias","10"
"C12.294.494.400","Hypospadias","2"
"C14.907.514","Hypotension","0"
"C10.177.575.600.450","Hypotension, Orthostatic","0"
"C10.228.140.617","Hypothalamic Diseases","65"
"C04.588.614.250.195.885.500","Hypothalamic Neoplasms","33"
"C23.888.119.565","Hypothermia","0"
"C19.874.482","Hypothyroidism","6"
"C17.800.329.937","Hypotrichosis","37"
"C08.618.846.565","Hypoventilation","1"
"C23.550.291.875","Iatrogenic Disease","0"
"C16.131.831.512","Ichthyosis","61"
"C06.405.469.420","Ileal Diseases","7"
"C04.588.274.476.411.501","Ileal Neoplasms","1"
"C06.405.205.462.624","Ileitis","4"
"C10.597.606.762.400","Illusions","9"
"C17.800.321.500","Immersion Foot","0"
"C20.543.520","Immune Complex Diseases","39"
"C15.604.338.500","Immunoblastic Lymphadenopathy","1"
"C20.673","Immunologic Deficiency Syndromes","572"
"C20","Immune System Diseases","5511"
"C20.683","Immunoproliferative Disorders","3344"
"C04.557.386.390","Immunoproliferative Small Intestinal Disease","0"
"C01.252.410.868.820.504","Impetigo","0"
"C12.294.644.486","Erectile Dysfunction","0"
"C10.228.140.617.738.320","Inappropriate ADH Syndrome","6"
"C16.131.077.445","Incontinentia Pigmenti","17"
"C24.426","Inert Gas Narcosis","0"
"C18.654.422","Infant Nutrition Disorders","2"
"C16.614","Infant, Newborn, Diseases","204"
"C16.614.521","Infant, Premature, Diseases","17"
"C23.550.513.355","Infarction","0"
"C01.539","Infection","637"
"C02.256.466.488","Infectious Bovine Rhinotracheitis","0"
"C02.256.466.313.400","Infectious Mononucleosis","13"
"C12.294.365","Infertility","102"
"C13.351.500.365.700","Infertility, Female","16"
"C12.294.365.700","Infertility, Male","50"
"C23.550.470","Inflammation","0"
"C02.782.620.365","Influenza, Human","215"
"C21","Disorders of Environmental Origin","2"
"C25.723.127.071","Insect Bites and Stings","0"
"C10.886.425.800.800","Sleep Initiation and Maintenance Disorders","47"
"C10.597.606.358.800.200.600","Insulin Coma","0"
"C18.452.394.968.500","Insulin Resistance","196"
"C04.557.470.035.100.852","Insulinoma","7"
"C14.907.137.126.669","Intermittent Claudication","1"
"C17.800.174.640","Intertrigo","0"
"C05.116.900.307","Intervertebral Disc Displacement","4"
"C06.198.719","Intestinal Atresia","0"
"C06.405.469","Intestinal Diseases","1953"
"C03.432","Intestinal Diseases, Parasitic","5"
"C06.267.550","Intestinal Fistula","0"
"C04.588.274.476.411","Intestinal Neoplasms","1556"
"C06.405.469.531","Intestinal Obstruction","5"
"C06.405.469.557","Intestinal Perforation","2"
"C23.300.825.411","Intestinal Polyps","0"
"C06.405.469.531.492.500","Intestinal Pseudo-Obstruction","1"
"C23.550.505","Intraoperative Complications","0"
"C06.405.469.531.577","Intussusception","0"
"C23.550.210.190","Chromosome Inversion","0"
"C11.941.375","Iris Diseases","8"
"C11.941.375.385","Iritis","0"
"C23.550.513","Ischemia","0"
"C04.557.470.035.100","Adenoma, Islet Cell","15"
"C10.228.140.380.165","Creutzfeldt-Jakob Syndrome","4"
"C23.550.429.500","Jaundice","0"
"C16.320.565.300.764","Jaundice, Chronic Idiopathic","3"
"C16.614.451.500","Jaundice, Neonatal","3"
"C05.500.460","Jaw Abnormalities","15"
"C04.182.089.530","Jaw Cysts","4"
"C05.500","Jaw Diseases","25"
"C10.900.300.284.500.400","Jaw Fractures","0"
"C04.588.149.721.450","Jaw Neoplasms","0"
"C05.500.480","Jaw, Edentulous","0"
"C05.500.480.450","Jaw, Edentulous, Partially","0"
"C06.405.469.600","Jejunal Diseases","0"
"C04.588.274.476.411.523","Jejunal Neoplasms","0"
"C15.378.553.774.600","Job Syndrome","6"
"C05.550","Joint Diseases","485"
"C05.550.521","Joint Instability","6"
"C05.550.535","Joint Loose Bodies","0"
"C02.256.466.382.410","Kaposi Varicelliform Eruption","1"
"C08.127.384.500","Kartagener Syndrome","1"
"C05.651.460.700.500","Kearns-Sayre Syndrome","6"
"C11.204.564","Keratitis","5"
"C02.256.466.382.465.450","Keratitis, Dendritic","1"
"C17.800.417","Keratoacanthoma","0"
"C11.187.183.394","Keratoconjunctivitis","0"
"C11.187.183.394.500","Keratoconjunctivitis Sicca","0"
"C01.252.354.450","Keratoconjunctivitis, Infectious","0"
"C11.204.627","Keratoconus","4"
"C17.800.428","Keratosis","108"
"C16.320.850.190","Darier Disease","0"
"C16.320.850.475","Keratoderma, Palmoplantar","24"
"C10.228.140.163.480","Kernicterus","4"
"C18.452.076.176.652","Ketosis","1"
"C12.777.419.600.500","Kidney Calculi","3"
"C12.777.419.393","Kidney Cortex Necrosis","26"
"C12.777.419","Kidney Diseases","888"
"C12.777.419.780.750.500","Kidney Failure, Chronic","51"
"C04.588.945.947.535","Kidney Neoplasms","439"
"C12.777.419.493","Kidney Papillary Necrosis","0"
"C12.777.419.780.050.500","Kidney Tubular Necrosis, Acute","4"
"C12.777.419.403.875","Polycystic Kidney Diseases","8"
